FrID,Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
1,Anaheim Ducks,NHL,1993,2019,25,1952,930,754,107,161,2128,.545,14,6,2,1,1
1,Anaheim Ducks,NHL,2006,2019,13,1000,549,327,,124,1222,.611,10,6,1,1,1
1,Mighty Ducks of Anaheim,NHL,1993,2006,12,952,381,427,107,37,906,.476,4,0,1,0,0
2,Arizona Coyotes,NHL,1979,2019,39,3074,1261,1400,266,147,2935,.477,19,1,0,0,0
2,Arizona Coyotes,NHL,2014,2019,5,376,140,194,,42,322,.428,0,0,0,0,0
2,Phoenix Coyotes,NHL,1996,2014,17,1360,615,546,94,105,1429,.525,8,1,0,0,0
2,Winnipeg Jets,NHL,1979,1996,17,1338,506,660,172,,1184,.442,11,0,0,0,0
3,Boston Bruins,NHL,1924,2019,94,6467,3142,2366,791,168,7243,.560,71,28,4,6,6
4,Buffalo Sabres,NHL,1970,2019,48,3786,1751,1478,409,148,4059,.536,29,6,1,0,0
5,Calgary Flames,NHL,1972,2019,46,3632,1685,1430,379,138,3887,.535,28,7,3,1,1
5,Calgary Flames,NHL,1980,2019,38,2996,1417,1170,271,138,3243,.541,22,7,3,1,1
5,Atlanta Flames,NHL,1972,1980,8,636,268,260,108,,644,.506,6,0,0,0,0
6,Carolina Hurricanes,NHL,1979,2019,39,3074,1264,1388,263,159,2950,.480,13,4,2,1,1
6,Carolina Hurricanes,NHL,1997,2019,21,1654,730,679,86,159,1705,.515,5,3,2,1,1
6,Hartford Whalers,NHL,1979,1997,18,1420,534,709,177,,1245,.438,8,1,0,0,0
7,Chicago Blackhawks,NHL,1926,2019,92,6402,2737,2696,814,155,6443,.503,62,17,4,6,6
7,Chicago Blackhawks,NHL,1986,2019,32,2516,1169,995,197,155,2690,.535,21,6,4,3,3
7,Chicago Black Hawks,NHL,1926,1986,60,3886,1568,1701,617,,3753,.483,41,11,0,3,3
8,Colorado Avalanche,NHL,1979,2019,39,3075,1407,1283,261,124,3199,.520,23,11,2,2,2
8,Colorado Avalanche,NHL,1995,2019,23,1819,910,684,101,124,2045,.562,14,9,2,2,2
8,Quebec Nordiques,NHL,1979,1995,16,1256,497,599,160,,1154,.459,9,2,0,0,0
9,Columbus Blue Jackets,NHL,2000,2019,18,1408,608,636,33,131,1380,.490,4,0,0,0,0
10,Dallas Stars,NHL,1967,2019,51,4013,1763,1654,459,137,4122,.514,31,10,3,1,1
10,Dallas Stars,NHL,1993,2019,25,1951,1005,684,125,137,2272,.582,14,8,2,1,1
10,Minnesota North Stars,NHL,1967,1993,26,2062,758,970,334,,1850,.449,17,2,1,0,0
11,Detroit Red Wings,NHL,1926,2019,92,6402,2939,2483,815,165,6858,.536,64,29,6,11,11
11,Detroit Red Wings,NHL,1932,2019,86,6134,2841,2355,773,165,6620,.540,62,29,6,11,11
11,Detroit Falcons,NHL,1930,1932,2,92,34,41,17,,85,.462,1,0,0,0,0
11,Detroit Cougars,NHL,1926,1930,4,176,64,87,25,,153,.435,1,0,0,0,0
12,Edmonton Oilers,NHL,1979,2019,39,3075,1385,1278,262,150,3182,.517,21,6,7,5,5
13,Florida Panthers,NHL,1993,2019,25,1950,801,818,142,189,1933,.496,5,2,1,0,0
14,Los Angeles Kings,NHL,1967,2019,51,4014,1693,1750,424,147,3957,.493,30,1,3,2,2
15,Minnesota Wild,NHL,2000,2019,18,1409,677,541,55,136,1545,.548,9,1,0,0,0
16,Montreal Canadiens,NHL,1917,2019,101,6628,3401,2238,837,152,7791,.588,83,37,3,25,23
17,Nashville Predators,NHL,1998,2019,20,1575,768,596,60,151,1747,.555,11,1,1,0,0
18,New Jersey Devils,NHL,1974,2019,44,3474,1474,1525,328,147,3423,.493,23,9,5,3,3
18,New Jersey Devils,NHL,1982,2019,36,2834,1334,1134,219,147,3034,.535,22,9,5,3,3
18,Colorado Rockies,NHL,1976,1982,6,480,113,281,86,,312,.325,1,0,0,0,0
18,Kansas City Scouts,NHL,1974,1976,2,160,27,110,23,,77,.241,0,0,0,0,0
19,New York Islanders,NHL,1972,2019,46,3630,1602,1535,347,146,3697,.509,24,7,3,4,4
20,New York Rangers,NHL,1926,2019,92,6400,2808,2649,808,135,6559,.512,59,8,2,4,4
21,Ottawa Senators,NHL,1992,2019,26,2035,913,856,115,151,2092,.514,16,4,1,0,0
22,Philadelphia Flyers,NHL,1967,2019,51,4012,1995,1394,457,166,4613,.575,39,16,4,2,2
23,Pittsburgh Penguins,NHL,1967,2019,51,4012,1808,1685,383,136,4135,.515,33,9,6,5,5
24,San Jose Sharks,NHL,1991,2019,27,2117,1002,845,121,149,2274,.537,20,6,1,0,0
25,St. Louis Blues,NHL,1967,2019,51,4012,1836,1600,432,144,4248,.529,41,9,0,0,0
26,Tampa Bay Lightning,NHL,1992,2019,26,2035,881,903,112,139,2013,.495,10,4,2,1,1
27,Toronto Maple Leafs,NHL,1917,2019,101,6626,2912,2779,783,152,6759,.510,67,8,0,13,13
27,Toronto Maple Leafs,NHL,1926,2019,92,6400,2800,2670,778,152,6530,.510,63,7,0,11,11
27,Toronto St. Patricks,NHL,1919,1926,7,186,94,87,5,,193,.519,3,1,0,1,1
27,Toronto Arenas,NHL,1917,1919,2,40,18,22,0,,36,.450,1,0,0,1,1
28,Vancouver Canucks,NHL,1970,2019,48,3788,1578,1675,391,144,3691,.487,27,10,3,0,0
29,Vegas Golden Knights,NHL,2017,2019,2,133,80,42,,11,171,.643,1,1,1,,
30,Washington Capitals,NHL,1974,2019,44,3474,1602,1422,303,147,3654,.526,28,11,2,1,1
31,Winnipeg Jets,NHL,1999,2019,19,1490,641,663,45,141,1468,.493,3,2,0,0,0
31,Winnipeg Jets,NHL,2011,2019,8,588,299,226,,63,661,.562,2,1,0,0,0
31,Atlanta Thrashers,NHL,1999,2011,11,902,342,437,45,78,807,.447,1,1,0,0,0